Recipe Id,Recipe Name English,Recipe Name Local,Is Non Veg,Total Active Time,Total Passive Time,Total Steps,Warning,Extra Info
coconut_prawn_curry,Andaman Coconut Prawn Curry,Coconut Prawn Curry,True,1200,600,5,"A quintessential dish of the Andaman settler cuisine, celebrated for its authentic island flavor derived from a creamy coconut milk base and mild spices.",
macher_jhol,Bengali-Style Fish Stew,Macher Jhol,True,1380,600,6,"This light, comforting fish stew is a quintessential Bengali dish widely available in the islands, reflecting the region's significant Bengali settler population.",
foraged_tuber_meal,Foraged Tuber Meal,Wild Tuber Meal,False,3720,0,4,"A foundational carbohydrate source for all indigenous groups. The preparation is minimal, focused on making the foraged tubers edible, either by boiling or roasting.",
turtle_eggs,Boiled Sea Turtle Eggs,Turtle Eggs,True,1020,0,3,Sea turtles and their eggs were historically a vital and prized source of protein for coastal tribes like the Onge. Hunting and collection are now banned under wildlife protection laws.,
kikad_roti,Gond Leaf-Wrapped Fire-Roasted Bread,Kikad Roti,False,2100,0,4,"A unique Gond cooking method where the dough is wrapped in Camel Foot Tree leaves and roasted directly in embers, imparting a distinct smoky flavor.",
litti_chokha,Roasted Dough Balls with Mashed Vegetables,Litti Chokha,False,4320,0,6,The authentic smoky flavor is achieved by roasting the litti and vegetables over coal or cow-dung embers.,
jil_pitha,Santhal Leaf-Wrapped Meat and Rice Dough,Jil Pitha,True,4500,0,6,A quintessential Santhal festive dish. The use of Sal leaves for wrapping is essential for the authentic earthy and smoky aroma.,
handia,Tribal Fermented Rice Beer,Handia / Haria / Ili,False,-1,-1,0,Recipe Unavailable. This is a traditional fermented beverage requiring a specific herbal starter culture ('ranu'). The process is a form of traditional biotechnology and is not a standard home-cooking recipe.,
goan_fish_curry,Basic Goan Fish Curry,Xitti Kodi / Humann / Goan Fish Curry,True,2100,0,5,"A foundational Goan dish, representing the likely adaptation for tribal communities moving to the coast. This is a simple version, using a ground coconut masala.",
pork_vindaloo,Goan Pork Vindaloo,Vindaloo / Pork Vindaloo,True,7200,86400,5,"A quintessential Goan-Portuguese dish. The authentic tangy and sharp flavor comes from a long marination in a spice paste made with toddy vinegar, not potatoes.","Adapted from the Portuguese marination technique carne de vinha d'alhos, this Goan specialty was transformed by substituting palm vinegar and adding a fiery blend of local spices, becoming a uniquely Indian curry."
lapsi,Sweet Cracked Wheat Porridge,Lapsi,False,1980,0,3,"A traditional sweet dish prepared for festive occasions, noted as a specialty of the Dhodia tribe.",
paniya,Leaf-Wrapped Maize Bread,Paniya,False,2040,0,4,A cherished rustic bread. The authentic smoky flavor is imparted by wrapping the maize dough in leaves (like Aakda or Khakhra) and roasting it directly on slow-burning embers.,
rabdi_maize,Maize Porridge with Buttermilk,Rabdi,False,1740,0,4,A simple and nourishing porridge that is a staple food. Buttermilk is traditionally added after cooking to add flavor and nutrition.,
mahua_liquor,Mahua Spirit,Mahua / Mahuri,False,-1,-1,0,Recipe Unavailable. A culturally and spiritually significant fermented and distilled beverage made from the flowers of the Mahua tree. It is integral to nearly all rituals and social ceremonies.,
kheer,Rice Pudding,Kheer,False,2940,0,4,"This recipe is culturally significant for the Gujjar community's Eid celebration, prioritizing dairy over meat.",
bamboo_shoot_curry,Bamboo Shoot Curry,Karil ki Sabzi / Baimbale Kari / Kallele Saaru,False,2100,0,4,Fresh bamboo shoots must be processed (soaked or boiled) to remove bitterness before they can be cooked.,
bisi_bele_bath,Hot Lentil Rice,Bisi Bele Bath,False,3420,0,5,"A complex and iconic one-pot meal from South Karnataka. The unique flavor comes from a special, freshly ground spice powder and a balance of tamarind and jaggery.",
wild_tuber_curry,Wild Tuber Curry,Kattukizhangu Curry / Kizhangu Curry,False,2700,0,4,"A foundational dish representing the staple carbohydrate source for forest-dwelling communities. Some wild tubers are toxic when raw and require specific, traditional processing methods (like prolonged boiling) to be made safe for consumption.",
chak_hao_kheer,Black Rice Pudding,Chak-hao Kheer,False,4920,3600,5,A celebrated delicacy made from a specific glutinous black rice ('Chak-hao') which gives the pudding its unique nutty flavor and deep purple color.,
galho,Hearty Rice and Meat Porridge,Galho / Zawo,True,3180,0,3,"A nourishing one-pot meal, similar to khichdi, popular in the hills. Smoked meat is often used for a deeper, more robust flavor.",
jadoh,Meghalayan Rice and Pork,Jadoh,True,2520,1800,6,"A quintessential comfort food from Meghalaya. The most authentic flavor is achieved by cooking the rice in pork fat rather than oil. A more intense version, 'Jadoh Snam', is prepared with pork blood.",
smoked_pork_with_axone,Smoked Pork with Fermented Soybeans,Smoked Pork with Axone,True,3720,0,4,An iconic Naga dish. The pungent aroma and deep umami flavor of 'Axone' (fermented soybeans) is the defining characteristic and an acquired taste.,
dal_baati_churma,Roasted Dough Balls with Lentils and Sweet Crumble,Dal Baati Churma,False,4200,1800,5,"An iconic Rajasthani festive meal, revered and considered essential for all major tribal occasions.",
