Recipe Id,Name,Amount,Unit,Is local
coconut_prawn_curry,Prawns,400.0,"g, cleaned and deveined",False
coconut_prawn_curry,Thick Coconut Milk,1.0,cup,False
coconut_prawn_curry,Onion,1.0,"medium, finely chopped",False
coconut_prawn_curry,Tomato,1.0,"medium, chopped",False
coconut_prawn_curry,Ginger-Garlic Paste,1.0,tsp,False
coconut_prawn_curry,Turmeric Powder,0.5,tsp,False
coconut_prawn_curry,Red Chili Powder,1.0,tsp,False
coconut_prawn_curry,Coconut Oil,2.0,tbsp,False
coconut_prawn_curry,Mustard Seeds,0.5,tsp,False
macher_jhol,Freshwater or Sea Fish Steaks,500.0,g,False
macher_jhol,Mustard Oil,3.0,tbsp,False
macher_jhol,Nigella Seeds (Kalonji),0.5,tsp,False
macher_jhol,Green Chilies,3.0,slit,False
macher_jhol,Turmeric Powder,1.0,tsp,False
macher_jhol,Cumin Powder,1.0,tsp,False
macher_jhol,Salt,-1.0,to taste,False
foraged_tuber_meal,Foraged Wild Yams or Tubers,500.0,g,True
turtle_eggs,Sea Turtle Eggs,6.0,,True
kikad_roti,Wheat or Millet Flour,2.0,cups,False
kikad_roti,Water,1.0,cup (approx.),False
kikad_roti,Camel Foot Tree (Bauhinia variegata) Leaves,4.0,sets,True
kikad_roti,Ghee and Jaggery,-1.0,for serving,False
litti_chokha,Whole Wheat Flour (Atta),2.0,cups,False
litti_chokha,Roasted Gram Flour (Sattu),1.0,cup,False
litti_chokha,Large Eggplant (Baingan),1.0,,False
litti_chokha,Large Tomatoes,2.0,,False
litti_chokha,Potatoes,2.0,medium,False
litti_chokha,Mustard Oil,2.0,tbsp,False
litti_chokha,Garlic Cloves,4.0,chopped,False
litti_chokha,Green Chilies,2.0,chopped,False
litti_chokha,Ghee,-1.0,for dipping,False
jil_pitha,Rice Flour or Finger Millet Flour,2.0,cups,False
jil_pitha,Chicken or Pork,250.0,"g, finely chopped or minced",False
jil_pitha,Ginger-Garlic Paste,1.0,tbsp,False
jil_pitha,Turmeric Powder,0.5,tsp,False
jil_pitha,Garam Masala,1.0,tsp,False
jil_pitha,Salt,-1.0,to taste,False
jil_pitha,Sal Leaves,4.0,large sets,True
goan_fish_curry,Kingfish or Mackerel,500.0,"g, steaks",False
goan_fish_curry,Grated Coconut,1.0,"cup, fresh",False
goan_fish_curry,Onion,1.0,"medium, chopped",False
goan_fish_curry,Dried Red Chilies,4.0,,False
goan_fish_curry,Coriander Seeds,1.0,tbsp,False
goan_fish_curry,Turmeric Powder,1.0,tsp,False
goan_fish_curry,Tamarind Pulp or Kokum,1.0,tbsp,False
goan_fish_curry,Salt,-1.0,to taste,False
pork_vindaloo,Pork,1.0,"kg, with fat, cubed",False
pork_vindaloo,Toddy Vinegar,0.5,cup,False
pork_vindaloo,Dried Kashmiri Red Chilies,15.0,,False
pork_vindaloo,Garlic,10.0,cloves,False
pork_vindaloo,Ginger,1.0,inch piece,False
pork_vindaloo,Cumin Seeds,1.0,tsp,False
pork_vindaloo,Cloves,6.0,,False
pork_vindaloo,Cinnamon Stick,1.0,inch,False
pork_vindaloo,Black Peppercorns,1.0,tsp,False
pork_vindaloo,Onion,2.0,"large, chopped",False
lapsi,Cracked Wheat (Daliya),1.0,cup,False
lapsi,Palm Jaggery (Gur) or Sugar,0.75,"cup, grated",False
lapsi,Ghee (Clarified Butter),3.0,tbsp,False
lapsi,Water,3.0,cups,False
lapsi,Cardamom Powder,0.5,tsp,False
paniya,Maize Flour (Makai Atta),2.0,cups,False
paniya,Hot Water,1.0,cup (approx.),False
