Recipe Id,Step Count,Message,Active time,Passive time
coconut_prawn_curry,1,Marinate the prawns with a pinch of turmeric and salt.,-1,600
coconut_prawn_curry,2,Heat coconut oil in a pan. Add mustard seeds and let them splutter. Add the chopped onion and sauté until translucent.,300,-1
coconut_prawn_curry,3,Add the ginger-garlic paste and sauté for another minute. Add the chopped tomato and cook until soft.,300,-1
coconut_prawn_curry,4,Stir in the turmeric and red chili powder. Add the marinated prawns and cook for 2-3 minutes until they turn pink.,180,-1
coconut_prawn_curry,5,"Pour in the thick coconut milk, add salt, and bring to a gentle simmer. Cook for 5-7 minutes. Do not boil vigorously. Serve hot with rice.",420,-1
macher_jhol,1,Marinate the fish steaks with salt and half the turmeric powder.,-1,600
macher_jhol,2,Heat mustard oil in a pan until it is lightly smoking. Gently fry the fish steaks on both sides until golden. Remove and set aside.,480,-1
macher_jhol,3,"In the same oil, add the nigella seeds and slit green chilies.",60,-1
macher_jhol,4,Add the remaining turmeric and cumin powder with a splash of water to make a paste. Sauté for a minute.,120,-1
macher_jhol,5,Add about 2 cups of hot water and salt to create a thin broth (jhol). Bring to a boil.,300,-1
macher_jhol,6,Gently place the fried fish back into the broth. Simmer for 5-7 minutes. Serve hot with steamed rice.,420,-1
foraged_tuber_meal,1,Thoroughly wash and scrub the wild tubers to remove all dirt.,300,-1
foraged_tuber_meal,2,"Place the tubers directly into the embers of a fire and roast for 20-30 minutes, turning occasionally, until the skin is charred and the inside is soft.",1800,-1
foraged_tuber_meal,3,"Alternatively, boil the tubers in water until they are tender.",1500,-1
foraged_tuber_meal,4,Peel the cooked tubers and eat as a staple meal.,120,-1
turtle_eggs,1,Gently place the collected eggs in a pot of water.,60,-1
turtle_eggs,2,Bring the water to a boil and cook for 10-15 minutes.,900,-1
turtle_eggs,3,The cooked eggs are eaten as a highly nutritious food.,60,-1
kikad_roti,1,Prepare a firm dough using the flour and water.,480,-1
kikad_roti,2,"Place a ball of dough on one half of a large leaf, press it flat, and cover it with the other half of the leaf.",360,-1
kikad_roti,3,"Roast the leaf-wrapped dough directly in the embers of a live fire (or on a dry griddle) for 15-20 minutes, turning once, until the leaf chars and the roti inside is cooked.",1200,-1
kikad_roti,4,"Carefully remove the bread, discard the burnt leaves, and serve hot with a generous amount of ghee and jaggery.",60,-1
litti_chokha,1,"Prepare the chokha: Roast the eggplant, tomatoes, and boiled potatoes over an open flame until the skin is charred. Peel and mash them together.",1200,-1
litti_chokha,2,"Mix the mashed vegetables with mustard oil, chopped garlic, green chilies, and salt to make the chokha. Set aside.",300,-1
litti_chokha,3,"Prepare the litti filling by mixing sattu with water, pickle masala, and herbs to form a crumbly mixture.",480,-1
litti_chokha,4,"Knead a firm dough with the wheat flour and water. Make small balls, flatten them, place a spoonful of sattu filling inside, and seal them into round balls.",720,-1
litti_chokha,5,"Roast the litti balls over hot coals or in an oven, turning frequently, until they are cooked through and firm.",1500,-1
litti_chokha,6,Crack the hot littis open slightly and dip them generously in melted ghee before serving with the chokha.,120,-1
jil_pitha,1,"Cook the minced meat with ginger-garlic paste, turmeric, garam masala, and salt until it is cooked through and dry. Let it cool.",1200,-1
jil_pitha,2,Prepare a soft dough using the rice or millet flour and warm water.,480,-1
jil_pitha,3,"Thoroughly mix the cooked meat filling into the prepared dough, ensuring it is evenly distributed.",300,-1
jil_pitha,4,"Take a large portion of the meat-laced dough and shape it into a thick, flat disc.",240,-1
jil_pitha,5,"Wash the Sal leaves. Place the dough disc inside a parcel made of several layers of leaves, ensuring it is completely encased.",480,-1
jil_pitha,6,"Slow-cook the entire parcel by roasting it over hot coals or steaming it in an earthen pot for 25-30 minutes, until the dough is firm and cooked through.",1800,-1
goan_fish_curry,1,"Grind the grated coconut, red chilies, coriander seeds, and a little turmeric with water to make a smooth, fine paste (masala).",600,-1
goan_fish_curry,2,"In a pot, sauté the chopped onion until translucent.",300,-1
goan_fish_curry,3,"Add the ground masala paste to the pot and cook for 5 minutes, stirring, until the raw smell disappears.",300,-1
goan_fish_curry,4,"Add about 2 cups of water, the tamarind pulp or kokum, and salt. Bring the curry to a gentle simmer.",300,-1
goan_fish_curry,5,Gently place the fish steaks into the simmering curry. Cook for 7-10 minutes until the fish is cooked through. Do not over-stir. Serve hot with steamed rice (Xit).,600,-1
